[ 2025-08-28 13:02:04,024 ] 18 root - INFO - data ingestion initiate
[ 2025-08-28 13:02:06,455 ] 64 root - INFO - traintest split done
[ 2025-08-28 13:02:06,455 ] 70 root - INFO - exporting train and test file path
[ 2025-08-28 13:02:06,522 ] 79 root - INFO - exported train and test file path
[ 2025-08-28 13:02:06,522 ] 21 root - INFO - data validation complete
[ 2025-08-28 13:02:06,531 ] 26 root - INFO - initiate data validation
[ 2025-08-28 13:02:06,598 ] 40 root - INFO - Required number of columns: 2
[ 2025-08-28 13:02:06,598 ] 41 root - INFO - Data frame has columns: 31
[ 2025-08-28 13:02:06,598 ] 40 root - INFO - Required number of columns: 2
[ 2025-08-28 13:02:06,598 ] 41 root - INFO - Data frame has columns: 31
[ 2025-08-28 13:02:06,756 ] 29 root - INFO - data validation completed
[ 2025-08-28 13:02:06,756 ] 32 root - INFO - data trnasformation started
[ 2025-08-28 13:02:06,756 ] 60 root - INFO - entered initiate_data_transformation method of DataTransformation class 
[ 2025-08-28 13:02:06,756 ] 62 root - INFO - start the data transformation
[ 2025-08-28 13:02:06,821 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-28 13:02:06,821 ] 53 root - INFO - initialize knnimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-28 13:02:06,863 ] 48 root - INFO - Enter the save_object method of main utils class
[ 2025-08-28 13:02:06,866 ] 52 root - INFO - exited the save_object method of main utils class
[ 2025-08-28 13:02:06,868 ] 36 root - INFO - data trnasformation complete
[ 2025-08-28 13:02:06,869 ] 38 root - INFO - model training started
