[ 2025-08-28 13:03:15,465 ] 18 root - INFO - data ingestion initiate
[ 2025-08-28 13:03:17,632 ] 64 root - INFO - traintest split done
[ 2025-08-28 13:03:17,633 ] 70 root - INFO - exporting train and test file path
[ 2025-08-28 13:03:17,688 ] 79 root - INFO - exported train and test file path
[ 2025-08-28 13:03:17,688 ] 21 root - INFO - data validation complete
[ 2025-08-28 13:03:17,704 ] 26 root - INFO - initiate data validation
[ 2025-08-28 13:03:17,767 ] 40 root - INFO - Required number of columns: 2
[ 2025-08-28 13:03:17,767 ] 41 root - INFO - Data frame has columns: 31
[ 2025-08-28 13:03:17,767 ] 40 root - INFO - Required number of columns: 2
[ 2025-08-28 13:03:17,767 ] 41 root - INFO - Data frame has columns: 31
[ 2025-08-28 13:03:17,952 ] 29 root - INFO - data validation completed
[ 2025-08-28 13:03:17,952 ] 32 root - INFO - data trnasformation started
[ 2025-08-28 13:03:17,952 ] 60 root - INFO - entered initiate_data_transformation method of DataTransformation class 
[ 2025-08-28 13:03:17,952 ] 62 root - INFO - start the data transformation
[ 2025-08-28 13:03:17,992 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-28 13:03:17,992 ] 53 root - INFO - initialize knnimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-28 13:03:18,025 ] 48 root - INFO - Enter the save_object method of main utils class
[ 2025-08-28 13:03:18,025 ] 52 root - INFO - exited the save_object method of main utils class
[ 2025-08-28 13:03:18,025 ] 36 root - INFO - data trnasformation complete
[ 2025-08-28 13:03:18,025 ] 38 root - INFO - model training started
[ 2025-08-28 13:07:14,109 ] 48 root - INFO - Enter the save_object method of main utils class
[ 2025-08-28 13:07:14,110 ] 52 root - INFO - exited the save_object method of main utils class
[ 2025-08-28 13:07:14,110 ] 98 root - INFO - Model triner artifact ModelTrainerArtifact(trained_model_file_path='Artifacts\\08_28_2025_13_03_14\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9922324220720267, precision_score=0.9941378613300991, recall_score=0.9941378613300991), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9675830939679935, precision_score=0.9743801652892562, recall_score=0.9743801652892562))
[ 2025-08-28 13:07:14,114 ] 43 root - INFO - model training artifact created
